state_fips,county_fips,county_name,pop18
1,01001,Autauga County,55533
1,01003,Baldwin County,217855
1,01005,Barbour County,24872
1,01007,Bibb County,22367
1,01009,Blount County,57771
1,01011,Bullock County,10174
1,01013,Butler County,19631
1,01015,Calhoun County,114331
1,01017,Chambers County,33600
1,01019,Cherokee County,26014
1,01021,Chilton County,44163
1,01023,Choctaw County,12833
1,01025,Clarke County,23918
1,01027,Clay County,13294
1,01029,Cleburne County,15010
1,01031,Coffee County,51950
1,01033,Colbert County,55004
1,01035,Conecuh County,12292
1,01037,Coosa County,10643
1,01039,Covington County,36953
1,01041,Crenshaw County,13825
1,01043,Cullman County,83418
1,01045,Dale County,49143
1,01047,Dallas County,38294
1,01049,DeKalb County,71407
1,01051,Elmore County,81011
1,01053,Escambia County,36524
1,01055,Etowah County,102611
1,01057,Fayette County,16445
1,01059,Franklin County,31298
1,01061,Geneva County,26306
1,01063,Greene County,8209
1,01065,Hale County,14749
1,01067,Henry County,17173
1,01069,Houston County,104770
1,01071,Jackson County,51621
1,01073,Jefferson County,659429
1,01075,Lamar County,13882
1,01077,Lauderdale County,92604
1,01079,Lawrence County,32941
1,01081,Lee County,163656
1,01083,Limestone County,96177
1,01085,Lowndes County,9974
1,01087,Macon County,18321
1,01089,Madison County,367004
1,01091,Marengo County,19056
1,01093,Marion County,29750
1,01095,Marshall County,96170
1,01097,Mobile County,413908
1,01099,Monroe County,21062
1,01101,Montgomery County,226504
1,01103,Morgan County,119203
1,01105,Perry County,9070
1,01107,Pickens County,19980
1,01109,Pike County,33242
1,01111,Randolph County,22727
1,01113,Russell County,57784
1,01115,St. Clair County,88654
1,01117,Shelby County,215583
1,01119,Sumter County,12634
1,01121,Talladega County,80137
1,01123,Tallapoosa County,40535
1,01125,Tuscaloosa County,208319
1,01127,Walker County,63669
1,01129,Washington County,16402
1,01131,Wilcox County,10599
1,01133,Winston County,23693
2,02013,Aleutians East Borough,3395
2,02016,Aleutians West Census Area,5640
2,02020,Anchorage Municipality,290521
2,02050,Bethel Census Area,18219
2,02060,Bristol Bay Borough,880
2,02068,Denali Borough,2032
2,02070,Dillingham Census Area,4991
2,02090,Fairbanks North Star Borough,98565
2,02100,Haines Borough,2488
2,02105,Hoonah-Angoon Census Area,2155
2,02110,Juneau City and Borough,32037
2,02122,Kenai Peninsula Borough,58561
2,02130,Ketchikan Gateway Borough,13856
2,02150,Kodiak Island Borough,13250
2,02158,Kusilvak Census Area,8323
2,02164,Lake and Peninsula Borough,1596
2,02170,Matanuska-Susitna Borough,107115
2,02180,Nome Census Area,10053
2,02185,North Slope Borough,9850
2,02188,Northwest Arctic Borough,7694
2,02195,Petersburg Borough,3244
2,02198,Prince of Wales-Hyder Census Area,6360
2,02220,Sitka City and Borough,8554
2,02230,Skagway Municipality,1169
2,02240,Southeast Fairbanks Census Area,6937
2,02261,Valdez-Cordova Census Area,9161
2,02275,Wrangell City and Borough,2538
2,02282,Yakutat City and Borough,596
2,02290,Yukon-Koyukuk Census Area,5359
4,04001,Apache County,71731
4,04003,Cochise County,126411
4,04005,Coconino County,142523
4,04007,Gila County,53801
4,04009,Graham County,37995
4,04011,Greenlee County,9448
4,04012,La Paz County,21039
4,04013,Maricopa County,4402403
4,04015,Mohave County,209292
4,04017,Navajo County,110242
4,04019,Pima County,1036554
4,04021,Pinal County,446806
4,04023,Santa Cruz County,46395
4,04025,Yavapai County,231772
4,04027,Yuma County,211612
5,05001,Arkansas County,17726
5,05003,Ashley County,20012
5,05005,Baxter County,41624
5,05007,Benton County,272266
